,long,lat,sr
0,-180.0,-38.0,169.3978758315502
1,-180.0,-37.5,156.92669680554496
2,-180.0,-37.0,153.63232846262102
3,-180.0,-36.5,153.78441828005177
4,-180.0,-36.0,149.4501550227205
5,-180.0,-35.5,151.1383406483673
6,-180.0,-35.0,156.3353843615275
7,-180.0,-34.5,155.3706620335963
8,-180.0,-34.0,149.80812199898133
9,-180.0,-33.0,154.43152480540843
10,-180.0,-32.5,149.81347706720325
11,-180.0,-32.0,151.19850760729935
12,-180.0,-31.5,152.09799434397215
13,-180.0,-31.0,152.57678298617694
14,-180.0,-30.5,152.12627660069774
15,-180.0,-30.0,153.39390673133792
16,-180.0,-29.5,149.70373083733435
17,-180.0,-29.0,150.87305687089204
18,-180.0,-28.5,151.89222133146436
19,-180.0,-28.0,150.51308939200894
20,-180.0,-27.5,150.83501452494454
21,-180.0,-27.0,152.17917254043326
22,-180.0,-26.5,147.02565360320543
23,-180.0,-26.0,151.34441827662468
24,-180.0,-25.5,149.17344771611363
25,-180.0,-25.0,147.75173795943294
26,-180.0,-24.5,147.3991817684135
27,-180.0,-24.0,146.06129161506837
28,-180.0,-23.5,152.1474383585136
29,-180.0,-23.0,149.6688923642013
30,-180.0,-22.0,147.75369354669274
31,-180.0,-21.5,148.23480846002903
32,-180.0,-21.0,150.84424171629018
33,-180.0,-20.5,152.4876162069205
34,-180.0,-20.0,149.81756563911512
35,-180.0,-19.5,148.32460842589515
36,-180.0,-19.0,148.6099612870594
37,-180.0,-18.5,150.14016903818694
38,-180.0,-18.0,148.3874200702223
39,-180.0,-17.5,148.7466826873485
40,-180.0,-17.0,149.87471371193087
41,-180.0,-16.5,151.91060916334467
42,-180.0,-16.0,150.79950822617988
43,-180.0,-15.5,149.36997337994276
44,-180.0,-15.0,149.97375752456145
45,-180.0,-14.5,151.98046706561664
46,-180.0,-14.0,149.5682788480355
47,-180.0,-13.5,149.17866595537959
48,-180.0,-13.0,148.92184256727293
49,-180.0,-12.5,149.24932802787117
50,-180.0,-12.0,154.4932584770242
51,-180.0,-11.5,150.90079498181828
52,-180.0,-11.0,154.21463915173695
53,-180.0,-10.5,153.9671365387142
54,-180.0,-9.5,147.83459723767598
55,-180.0,-8.5,156.32205661689312
56,-180.0,-8.0,151.07560798075468
57,-180.0,-7.5,157.11112567351293
