lat,long,smap_sm
35.5,-121.0,0.07641502
36.0,-121.0,0.080220886
36.5,-121.0,0.079501145
35.5,-120.5,0.060467973
36.0,-120.5,0.07490775
36.5,-120.5,0.12390281
37.0,-120.5,0.18192491
37.5,-120.5,0.12354894
35.0,-120.0,0.06650282
35.5,-120.0,0.05966889
36.0,-120.0,0.09347342
36.5,-120.0,0.15700398
37.5,-120.0,0.08695755
39.5,-120.0,0.09993602
40.0,-120.0,0.07405192
34.5,-119.5,0.11260451
35.0,-119.5,0.077964395
35.5,-119.5,0.07976939
36.0,-119.5,0.15158188
36.5,-119.5,0.114324294
37.0,-119.5,0.08168918
38.0,-119.5,0.17707963
38.5,-119.5,0.11674445
39.0,-119.5,0.09344677
39.5,-119.5,0.10032867
34.5,-119.0,0.10160063
35.0,-119.0,0.09644538
35.5,-119.0,0.085030206
36.0,-119.0,0.10713178
36.5,-119.0,0.11363163
37.5,-119.0,0.16104695
38.0,-119.0,0.17438002
38.5,-119.0,0.113661
39.0,-119.0,0.07971363
39.5,-119.0,0.10263229
40.0,-119.0,0.08473731
34.5,-118.5,0.08586883
35.0,-118.5,0.06981453
35.5,-118.5,0.079071835
36.5,-118.5,0.17107673
38.0,-118.5,0.11061633
38.5,-118.5,0.10022231
39.0,-118.5,0.09160736
39.5,-118.5,0.10831103
40.0,-118.5,0.10003726
34.5,-118.0,0.05533297
35.0,-118.0,0.048161276
35.5,-118.0,0.0672774
36.0,-118.0,0.09059891
36.5,-118.0,0.12537585
37.0,-118.0,0.090653285
37.5,-118.0,0.0882136
38.0,-118.0,0.0991868
38.5,-118.0,0.09773988
39.0,-118.0,0.096379526
39.5,-118.0,0.10632686
40.0,-118.0,0.09611523
34.5,-117.5,0.050277695
35.0,-117.5,0.04310497
35.5,-117.5,0.062863156
36.0,-117.5,0.0895619
36.5,-117.5,0.10207707
37.0,-117.5,0.08072555
37.5,-117.5,0.076495565
38.0,-117.5,0.085931726
38.5,-117.5,0.094457895
39.0,-117.5,0.1313569
39.5,-117.5,0.093848765
40.0,-117.5,0.044486213
34.5,-117.0,0.05416423
35.0,-117.0,0.0538858
35.5,-117.0,0.05010992
37.0,-117.0,0.06368209
37.5,-117.0,0.05622909
38.0,-117.0,0.06303977
38.5,-117.0,0.09680013
39.5,-117.0,0.09097487
40.0,-117.0,0.06747246
32.0,-116.5,0.09650923
32.5,-116.5,0.090552494
33.0,-116.5,0.103557386
33.5,-116.5,0.10906212
34.5,-116.5,0.07497852
35.0,-116.5,0.065956056
35.5,-116.5,0.07199201
36.0,-116.5,0.07596559
36.5,-116.5,0.07424629
37.0,-116.5,0.06499493
37.5,-116.5,0.067260385
38.0,-116.5,0.07175516
38.5,-116.5,0.13166688
39.0,-116.5,0.13979621
39.5,-116.5,0.100141704
40.0,-116.5,0.11390548
31.5,-116.0,0.09255047
32.0,-116.0,0.11793815
32.5,-116.0,0.11822921
33.0,-116.0,0.10305154
34.0,-116.0,0.08109834
34.5,-116.0,0.07651007
35.0,-116.0,0.070159264
35.5,-116.0,0.07266635
36.0,-116.0,0.0732374
36.5,-116.0,0.07787583
37.0,-116.0,0.079701275
37.5,-116.0,0.08191899
38.0,-116.0,0.09406677
39.5,-116.0,0.11631448
40.0,-116.0,0.121899724
30.5,-115.5,0.11016653
31.0,-115.5,0.1317061
31.5,-115.5,0.11569233
32.0,-115.5,0.111184046
32.5,-115.5,0.17402804
33.5,-115.5,0.08953785
34.0,-115.5,0.07794696
34.5,-115.5,0.07852985
35.0,-115.5,0.06396984
35.5,-115.5,0.07578331
36.0,-115.5,0.09909281
36.5,-115.5,0.09737645
37.0,-115.5,0.0830323
37.5,-115.5,0.0919033
38.0,-115.5,0.12096767
38.5,-115.5,0.14759997
39.0,-115.5,0.13724068
39.5,-115.5,0.121597975
40.0,-115.5,0.11454811
29.5,-115.0,0.09128883
30.0,-115.0,0.09426072
30.5,-115.0,0.112426735
31.5,-115.0,0.24525844
32.0,-115.0,0.21890119
32.5,-115.0,0.14528339
33.0,-115.0,0.0956313
33.5,-115.0,0.08974901
34.0,-115.0,0.0711936
34.5,-115.0,0.067093715
35.0,-115.0,0.06422279
35.5,-115.0,0.08099986
36.5,-115.0,0.10503669
37.0,-115.0,0.08741469
37.5,-115.0,0.09059139
38.0,-115.0,0.10942627
38.5,-115.0,0.11837612
39.0,-115.0,0.1483208
39.5,-115.0,0.1605931
40.0,-115.0,0.1487737
29.5,-114.5,0.10159338
32.5,-114.5,0.068315424
33.0,-114.5,0.10461543
33.5,-114.5,0.093069345
34.0,-114.5,0.0931423
34.5,-114.5,0.08704972
35.5,-114.5,0.07186523
36.5,-114.5,0.072660804
37.0,-114.5,0.08625844
37.5,-114.5,0.14935862
38.0,-114.5,0.12424937
38.5,-114.5,0.12470853
39.5,-114.5,0.16561863
40.0,-114.5,0.15567113
29.0,-114.0,0.10525451
32.0,-114.0,0.068691954
32.5,-114.0,0.076960206
33.0,-114.0,0.079258576
33.5,-114.0,0.07620422
34.0,-114.0,0.0715373
34.5,-114.0,0.079448864
35.0,-114.0,0.08326848
35.5,-114.0,0.08965288
36.5,-114.0,0.047455944
37.0,-114.0,0.079130694
37.5,-114.0,0.14768879
38.0,-114.0,0.15988575
38.5,-114.0,0.14751877
39.0,-114.0,0.14975327
39.5,-114.0,0.17460838
40.0,-114.0,0.15055194
27.5,-113.5,0.11228463
28.0,-113.5,0.10729123
28.5,-113.5,0.13371566
31.5,-113.5,0.091063984
32.0,-113.5,0.085824
32.5,-113.5,0.0764723
33.0,-113.5,0.07267447
33.5,-113.5,0.074537404
34.0,-113.5,0.077841125
34.5,-113.5,0.09680524
35.0,-113.5,0.11682828
35.5,-113.5,0.1285012
36.0,-113.5,0.14733198
36.5,-113.5,0.118783556
37.5,-113.5,0.14705995
38.0,-113.5,0.13359462
38.5,-113.5,0.1211125
39.0,-113.5,0.17686813
39.5,-113.5,0.15118952
40.0,-113.5,0.2559649
27.0,-113.0,0.18356174
27.5,-113.0,0.14952193
31.5,-113.0,0.07371943
32.0,-113.0,0.0842336
32.5,-113.0,0.0817558
33.0,-113.0,0.0845931
33.5,-113.0,0.08600119
34.0,-113.0,0.07234448
34.5,-113.0,0.10827224
35.0,-113.0,0.1508572
35.5,-113.0,0.13666618
36.0,-113.0,0.13467108
36.5,-113.0,0.12872455
37.0,-113.0,0.109413505
37.5,-113.0,0.19233133
38.0,-113.0,0.13238825
38.5,-113.0,0.10275591
39.0,-113.0,0.15010452
39.5,-113.0,0.10495852
27.0,-112.5,0.17581049
30.5,-112.5,0.08115328
31.0,-112.5,0.073420085
31.5,-112.5,0.07799585
32.0,-112.5,0.09129368
32.5,-112.5,0.0899856
33.0,-112.5,0.08287657
33.5,-112.5,0.090768024
34.0,-112.5,0.10109334
34.5,-112.5,0.12156178
35.5,-112.5,0.13368051
36.0,-112.5,0.10704608
36.5,-112.5,0.118644275
37.0,-112.5,0.09148937
37.5,-112.5,0.16815855
38.0,-112.5,0.20843533
38.5,-112.5,0.14324985
39.0,-112.5,0.13048315
39.5,-112.5,0.11523842
40.0,-112.5,0.15665695
26.5,-112.0,0.17579804
27.0,-112.0,0.20539647
29.0,-112.0,0.10947696
29.5,-112.0,0.09292321
30.0,-112.0,0.09629695
30.5,-112.0,0.100709096
31.0,-112.0,0.11076741
31.5,-112.0,0.08929309
32.0,-112.0,0.08868615
32.5,-112.0,0.091104954
33.0,-112.0,0.0922523
34.0,-112.0,0.11260456
34.5,-112.0,0.13182376
35.0,-112.0,0.21313433
35.5,-112.0,0.17982411
36.0,-112.0,0.13934791
36.5,-112.0,0.11277126
37.0,-112.0,0.08643766
37.5,-112.0,0.1442838
38.0,-112.0,0.2180529
38.5,-112.0,0.23031929
39.0,-112.0,0.18454218
39.5,-112.0,0.15134884
40.0,-112.0,0.1721164
29.0,-111.5,0.09300244
29.5,-111.5,0.113109246
30.0,-111.5,0.12549844
30.5,-111.5,0.13883877
31.0,-111.5,0.12150037
31.5,-111.5,0.10851723
32.0,-111.5,0.08257296
32.5,-111.5,0.09707022
33.5,-111.5,0.09994677
34.0,-111.5,0.12666075
34.5,-111.5,0.22105506
35.0,-111.5,0.22559328
35.5,-111.5,0.12778573
36.0,-111.5,0.083069146
36.5,-111.5,0.06077707
37.5,-111.5,0.09202204
38.0,-111.5,0.19939557
38.5,-111.5,0.24572143
39.0,-111.5,0.28174984
39.5,-111.5,0.2846935
40.0,-111.5,0.3129903
30.5,-111.0,0.1635432
31.0,-111.0,0.15536451
31.5,-111.0,0.14257796
32.5,-111.0,0.09680178
33.0,-111.0,0.09846399
33.5,-111.0,0.124425024
34.0,-111.0,0.18739419
34.5,-111.0,0.24203694
35.5,-111.0,0.08932137
36.0,-111.0,0.06405286
36.5,-111.0,0.06293152
39.5,-111.0,0.29666066
40.0,-111.0,0.32960695
31.5,-110.5,0.16133313
32.0,-110.5,0.1630463
32.5,-110.5,0.15457058
33.0,-110.5,0.1436156
33.5,-110.5,0.16882065
34.0,-110.5,0.2420318
34.5,-110.5,0.21236126
36.0,-110.5,0.08791971
36.5,-110.5,0.11738782
37.0,-110.5,0.073125966
37.5,-110.5,0.09466877
38.0,-110.5,0.13793112
39.5,-110.5,0.23490459
40.0,-110.5,0.27643204
33.5,-110.0,0.23067589
34.0,-110.0,0.29895607
34.5,-110.0,0.20959641
36.5,-110.0,0.15450914
37.5,-110.0,0.14013994
38.0,-110.0,0.19844079
39.0,-110.0,0.20421758
39.5,-110.0,0.24544916
40.0,-110.0,0.1354718
36.0,-109.5,0.14412804
36.5,-109.5,0.10043265
37.0,-109.5,0.074550785
37.5,-109.5,0.13916276
38.0,-109.5,0.25040877
39.0,-109.5,0.17439929
39.5,-109.5,0.25019228
40.0,-109.5,0.14578961
35.5,-109.0,0.19697312
36.0,-109.0,0.18178114
36.5,-109.0,0.11699836
37.0,-109.0,0.09840595
37.5,-109.0,0.14573854
38.0,-109.0,0.22101958
38.5,-109.0,0.18982479
39.0,-109.0,0.13563989
39.5,-109.0,0.2227973
40.0,-109.0,0.16725588
38.0,-108.5,0.2224122
38.5,-108.5,0.22525932
39.0,-108.5,0.16589198
39.5,-108.5,0.32121634
40.0,-108.5,0.23584485
39.0,-108.0,0.20656127
39.5,-108.0,0.29742485
40.0,-108.0,0.28296906
39.5,-107.5,0.26038405
40.0,-107.5,0.3196797
17.0,-99.5,0.262403
20.0,-99.5,0.35203436
17.0,-99.0,0.31186506
17.5,-99.0,0.4136513
18.0,-99.0,0.4694513
18.5,-99.0,0.4198296
20.5,-99.0,0.2456199
21.5,-99.0,0.1417862
22.0,-99.0,0.1588636
22.5,-99.0,0.16985422
23.0,-99.0,0.14745766
23.5,-99.0,0.14835595
17.0,-98.5,0.43484458
17.5,-98.5,0.43418396
18.5,-98.5,0.43220243
19.0,-98.5,0.3996572
19.5,-98.5,0.29469764
20.0,-98.5,0.28922555
21.5,-98.5,0.14749134
22.0,-98.5,0.17657042
22.5,-98.5,0.1886352
23.0,-98.5,0.14748558
24.0,-98.5,0.18353054
24.5,-98.5,0.12750798
25.0,-98.5,0.1176219
25.5,-98.5,0.13461044
17.5,-98.0,0.46746606
18.0,-98.0,0.3826849
18.5,-98.0,0.26320434
19.0,-98.0,0.26271695
21.0,-98.0,0.210392
21.5,-98.0,0.1776304
25.5,-98.0,0.1548714
26.0,-98.0,0.19083479
26.5,-98.0,0.18906917
27.0,-98.0,0.11502405
27.5,-98.0,0.16634622
17.0,-97.5,0.36942557
17.5,-97.5,0.35166705
18.0,-97.5,0.2055427
18.5,-97.5,0.14858496
19.0,-97.5,0.31914887
19.5,-97.5,0.27778518
20.5,-97.5,0.22217682
28.0,-97.5,0.19231549
28.5,-97.5,0.16134995
29.0,-97.5,0.16952309
29.5,-97.5,0.15468068
30.0,-97.5,0.17446585
30.5,-97.5,0.25582033
31.0,-97.5,0.23522536
16.5,-97.0,0.21883765
29.0,-97.0,0.21023348
29.5,-97.0,0.12214765
30.0,-97.0,0.16314456
30.5,-97.0,0.2108168
31.0,-97.0,0.20938519
31.5,-97.0,0.24235775
32.0,-97.0,0.27087173
32.5,-97.0,0.22703704
16.5,-96.5,0.1851541
17.0,-96.5,0.17119288
19.0,-96.5,0.23104803
29.0,-96.5,0.26118264
29.5,-96.5,0.16488114
30.0,-96.5,0.19358502
30.5,-96.5,0.1938884
31.0,-96.5,0.19950774
31.5,-96.5,0.22566219
32.0,-96.5,0.33603874
32.5,-96.5,0.27857774
33.5,-96.5,0.20661774
34.5,-96.5,0.14258324
16.5,-96.0,0.24478814
17.0,-96.0,0.24658567
18.0,-96.0,0.25644404
18.5,-96.0,0.31118038
29.0,-96.0,0.30108818
29.5,-96.0,0.20891331
30.0,-96.0,0.17895395
30.5,-96.0,0.19749379
31.0,-96.0,0.19569653
31.5,-96.0,0.23859358
32.0,-96.0,0.28365707
32.5,-96.0,0.28943926
33.5,-96.0,0.20794697
34.0,-96.0,0.16942918
34.5,-96.0,0.15293626
35.0,-96.0,0.1536242
35.5,-96.0,0.15361635
36.5,-96.0,0.19280869
37.0,-96.0,0.17281546
37.5,-96.0,0.2168403
38.0,-96.0,0.19047666
16.5,-95.5,0.14157103
18.0,-95.5,0.28213084
29.5,-95.5,0.28098923
31.0,-95.5,0.3203269
31.5,-95.5,0.24960244
32.0,-95.5,0.28791532
32.5,-95.5,0.3016798
33.0,-95.5,0.2947839
33.5,-95.5,0.2061861
34.5,-95.5,0.19707708
35.0,-95.5,0.20044675
36.5,-95.5,0.2062514
37.0,-95.5,0.15602599
37.5,-95.5,0.22045828
38.0,-95.5,0.17572999
38.5,-95.5,0.15841915
39.0,-95.5,0.19533077
39.5,-95.5,0.20153248
40.0,-95.5,0.2328959
17.5,-95.0,0.27237618
18.0,-95.0,0.22550409
31.5,-95.0,0.25908616
32.0,-95.0,0.23454736
32.5,-95.0,0.26527682
33.0,-95.0,0.2504117
33.5,-95.0,0.18880731
34.0,-95.0,0.19421816
35.0,-95.0,0.18765381
36.0,-95.0,0.18681546
36.5,-95.0,0.19517756
37.0,-95.0,0.16813982
37.5,-95.0,0.21841146
38.0,-95.0,0.17218894
38.5,-95.0,0.16623382
39.0,-95.0,0.17980616
39.5,-95.0,0.18661131
40.0,-95.0,0.22221492
17.5,-94.5,0.2648536
30.0,-94.5,0.3045003
31.5,-94.5,0.28313738
32.0,-94.5,0.24056439
32.5,-94.5,0.26850748
33.0,-94.5,0.28970224
33.5,-94.5,0.19914702
35.0,-94.5,0.20453286
36.0,-94.5,0.16000092
36.5,-94.5,0.15796083
37.5,-94.5,0.24665871
38.0,-94.5,0.18698332
38.5,-94.5,0.1562944
39.5,-94.5,0.190171
40.0,-94.5,0.23526078
16.5,-94.0,0.32659125
17.5,-94.0,0.30891952
18.0,-94.0,0.30134335
32.5,-94.0,0.24420072
33.0,-94.0,0.38472798
33.5,-94.0,0.34558755
35.5,-94.0,0.19088963
36.5,-94.0,0.189257
37.0,-94.0,0.17400302
37.5,-94.0,0.2407001
38.0,-94.0,0.20548204
38.5,-94.0,0.17418715
39.0,-94.0,0.18086293
39.5,-94.0,0.18897295
40.0,-94.0,0.2641093
16.5,-93.5,0.251601
17.5,-93.5,0.3379164
32.5,-93.5,0.27578115
37.0,-93.5,0.16683248
37.5,-93.5,0.172204
38.0,-93.5,0.19004418
38.5,-93.5,0.2170909
39.0,-93.5,0.18676302
39.5,-93.5,0.25543118
40.0,-93.5,0.28123447
16.0,-93.0,0.24283746
16.5,-93.0,0.18285893
17.0,-93.0,0.22494389
17.5,-93.0,0.30182606
30.5,-93.0,0.3465229
35.5,-93.0,0.17759243
37.0,-93.0,0.1472124
37.5,-93.0,0.1645303
38.0,-93.0,0.18728064
38.5,-93.0,0.19671163
39.0,-93.0,0.20928933
39.5,-93.0,0.2659518
40.0,-93.0,0.2451385
16.5,-92.5,0.18395779
30.0,-92.5,0.3431113
30.5,-92.5,0.32221648
35.5,-92.5,0.15359733
37.0,-92.5,0.13622671
37.5,-92.5,0.1262066
38.5,-92.5,0.16150975
39.0,-92.5,0.22245447
39.5,-92.5,0.25999314
40.0,-92.5,0.27296472
16.0,-92.0,0.1409783
17.5,-92.0,0.25331038
30.5,-92.0,0.2462267
31.0,-92.0,0.30377966
35.5,-92.0,0.15643828
36.5,-92.0,0.19178851
38.0,-92.0,0.12429461
39.0,-92.0,0.29142067
39.5,-92.0,0.28627625
40.0,-92.0,0.29512298
15.5,-91.5,0.26606238
17.5,-91.5,0.25667214
18.0,-91.5,0.29484564
31.5,-91.5,0.35325256
32.0,-91.5,0.3221017
32.5,-91.5,0.31866524
34.5,-91.5,0.27056777
35.0,-91.5,0.23023658
35.5,-91.5,0.2016776
36.5,-91.5,0.1565023
38.5,-91.5,0.17928094
39.0,-91.5,0.25704387
39.5,-91.5,0.28122574
40.0,-91.5,0.2887659
15.0,-91.0,0.29470354
33.0,-91.0,0.3378454
33.5,-91.0,0.2961358
34.5,-91.0,0.22427458
35.0,-91.0,0.18846264
35.5,-91.0,0.19474985
36.0,-91.0,0.19401217
36.5,-91.0,0.21729107
39.0,-91.0,0.26268697
39.5,-91.0,0.27126923
40.0,-91.0,0.21796288
17.0,-90.5,0.28429112
31.0,-90.5,0.34023014
31.5,-90.5,0.33841014
32.5,-90.5,0.2787102
34.0,-90.5,0.27301535
34.5,-90.5,0.26720002
35.0,-90.5,0.24162641
35.5,-90.5,0.22130883
36.0,-90.5,0.21041551
36.5,-90.5,0.23663273
39.0,-90.5,0.2998297
39.5,-90.5,0.23946723
40.0,-90.5,0.25266027
31.0,-90.0,0.31605846
31.5,-90.0,0.26839578
32.5,-90.0,0.28805622
33.5,-90.0,0.36558157
34.0,-90.0,0.29451245
34.5,-90.0,0.21241412
35.5,-90.0,0.24358495
36.0,-90.0,0.24360308
36.5,-90.0,0.2528031
37.0,-90.0,0.22690205
37.5,-90.0,0.17447066
38.0,-90.0,0.19004557
39.0,-90.0,0.2533257
